Handle,Title,Tags,Published,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Taxable,Variant Barcode,Cost per item,Status,Photo,Info,Detail,Expiration_date (product.metafields.custom.expiration_date),Stock Status CR (product.metafields.custom.stock_cr),Stock Status NB (product.metafields.custom.stock_nb),Stock Status IN (product.metafields.custom.stock_in),Stock Status BR (product.metafields.custom.stock_br),Wholesaler,
명가 순대국밥 700G(MG Pork Blood Sausage Soup 700G),명가 순대국밥 700G(MG Pork Blood Sausage Soup 700G),"Frozen Foods, Mild, New, Anju",True,614224062272,700,shopify,26,deny,manual,15.90,15.90,True,"=""614224062272""",10.89,active,O,O,,-,7 Left,4 Left,6 Left,9 Left,CFC,
명성 국산 백숙 재료 100G(MS Chicken Soup Spices 100G),명성 국산 백숙 재료 100G(MS Chicken Soup Spices 100G),"Stock, New",True,8809328310158,100,shopify,128,deny,manual,5.99,5.99,True,"=""8809328310158""",3.68,active,O,O,O,-,In stock,In stock,In stock,In stock,CFC,
모구모구 딸기 320ml(MoguMogu Strawberry 320ml),모구모구 딸기 320ml(MoguMogu Strawberry 320ml),Juices,True,8850389100691,320,shopify,0,deny,manual,2.99,2.99,True,"=""8850389100691""",1.62,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
모구모구 라이치 320ml(MoguMogu Lychee 320ml),모구모구 라이치 320ml(MoguMogu Lychee 320ml),Juices,True,8850389100684,320,shopify,0,deny,manual,2.99,2.99,True,"=""8850389100684""",1.62,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
모구모구 망고 320ml(MoguMogu Mango 320ml),모구모구 망고 320ml(MoguMogu Mango 320ml),Juices,True,8850389100769,320,shopify,0,deny,manual,2.99,2.99,True,"=""8850389100769""",1.62,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
모구모구 복숭아 320ml(MoguMogu Peach 320ml),모구모구 복숭아 320ml(MoguMogu Peach 320ml),Juices,True,8850389106280,320,shopify,0,deny,manual,2.99,2.99,True,"=""8850389106280""",1.62,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
모구모구 코코넛 320ML(MOGU Coconut 320ML),모구모구 코코넛 320ML(MOGU Coconut 320ML),Juices,TRUE,8850389106273,320,shopify,0,deny,manual,2.99,2.99,TRUE,"=""8850389106273""",1.71,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
모구모구 포도 320ml(MoguMogu Grape 320ml),모구모구 포도 320ml(MoguMogu Grape 320ml),Juices,True,8850389101391,320,shopify,0,deny,manual,2.99,2.99,True,"=""8850389101391""",1.62,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,CFC,
미미네 눈꽃치즈 국물떡볶이 620G(MM TTEOKBOKKI SOUP MOZZARELLA 620G),미미네 눈꽃치즈 국물떡볶이 620G(MM TTEOKBOKKI SOUP MOZZARELLA 620G),"Frozen Foods, Instant Foods, Instant Noodles, Special",TRUE,8809725110191,620,shopify,3,deny,manual,10.99,14.90,TRUE,"=""8809725110191""",11.25,active,O,O,O,Expiration date: 24/09/2025,1 Left,Out of stock,2 Left,Out of stock,CFC,
미미네 오리지널 국물떡볶이 570G(MM TTEOKBOKKI SOUP ORIGINAL 570G),미미네 오리지널 국물떡볶이 570G(MM TTEOKBOKKI SOUP ORIGINAL 570G),"Frozen Foods, Instant Foods, Instant Noodles",TRUE,8809725110153,570,shopify,1,deny,manual,11.90,11.90,TRUE,"=""8809725110153""",9.10,active,O,O,O,-,Out of stock,Out of stock,Out of stock,1 Left,CFC,
