Handle,Title,Tags,Published,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Taxable,Variant Barcode,Cost per item,Status,Photo,Info,Detail,Expiration_date (product.metafields.custom.expiration_date),Stock Status CR (product.metafields.custom.stock_cr),Stock Status NB (product.metafields.custom.stock_nb),Stock Status IN (product.metafields.custom.stock_in),Stock Status BR (product.metafields.custom.stock_br),Wholesaler,
CJ 비비고 떡볶이파우치(매운맛) 360g(CJ BiBiGo TteokbokkI Hot & Spicy 360g),CJ 비비고 떡볶이파우치(매운맛) 360g(CJ BiBiGo TteokbokkI Hot & Spicy 360g),"Instant Foods, Instant Noodles, Spicy",TRUE,8801392037139,360,shopify,0,deny,manual,11.90,11.90,TRUE,8801392037139,6.63,active,O,O,O,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 비비고 떡볶이파우치(오리지날) 360g(CJ BiBiGo TteokbokkI Pouch(Original) 360g),CJ 비비고 떡볶이파우치(오리지날) 360g(CJ BiBiGo TteokbokkI Pouch(Original) 360g),"Instant Foods, Instant Noodles",TRUE,8801392037115,360,shopify,11,deny,manual,11.90,11.90,TRUE,8801392037115,0,active,O,O,O,-,2 Left,Out of stock,9 Left,Out of stock,,
CJ 비비고 떡볶이파우치(치즈) 360g(CJ BiBiGo TteokbokkI Pouch(Cheese) 360g),CJ 비비고 떡볶이파우치(치즈) 360g(CJ BiBiGo TteokbokkI Pouch(Cheese) 360g),"Instant Foods, Mild, Instant Noodles",TRUE,8801392042775,360,shopify,26,deny,manual,11.90,11.90,TRUE,8801392042775,0,active,O,O,O,-,4 Left,In stock,Out of stock,In stock,,
CJ 비비고 맛김치 1kg(CJ Mat Kimchi 1kg),CJ 비비고 맛김치 1kg(CJ Mat Kimchi 1kg),"Kimchi, Banchan",TRUE,8801007499024,1000,shopify,0,deny,manual,20.50,20.50,TRUE,8801007499024,14.4,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 비비고 맛김치 파우치 500g(CJ Mat Kimchi 500g),CJ 비비고 맛김치 파우치 500g(CJ Mat Kimchi 500g),"Kimchi, Banchan",TRUE,8801007164311,500,shopify,0,deny,manual,10.50,10.50,TRUE,8801007164311,6.48,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 비비고 미역국 500g(CJ Seaweed Soup 500g),CJ 비비고 미역국 500g(CJ Seaweed Soup 500g),Instant Foods,TRUE,807176711149,500,shopify,0,deny,manual,6.80,6.80,TRUE,807176711149,4.14,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,KS,
CJ 비비고 버섯육개장 500g(CJ bibigo Spicy Mushroom Soup 500g),CJ 비비고 버섯육개장 500g(CJ bibigo Spicy Mushroom Soup 500g),"Instant Foods, Special",TRUE,807176710944,500,shopify,1,deny,manual,5.90,11.80,TRUE,807176710944,7.38,active,O,O,O,Expiration date: 02/07/2025,Out of stock,1 Left,Out of stock,Out of stock,KS,
CJ 비비고 버섯잡채 590g(CJ Bibigo Japchae with Mushroom 590g),CJ 비비고 버섯잡채 590g(CJ Bibigo Japchae with Mushroom 590g),"Frozen Foods, Instant Foods, Mild",TRUE,8801007814247,590,shopify,14,deny,manual,19.50,19.50,TRUE,8801007814247,10.75,active,O,O,O,-,6 Left,3 Left,3 Left,2 Left,KS,
CJ 하선정 비건 맛김치 단지 500g_1(CJ HSJ Vegan Kimchi(Jar) 500g_1),CJ 비비고 비건 맛김치 단지 500g_1(CJ Bibigo Vegan Kimchi(Jar) 500g_1),"Kimchi, Banchan, Vegan",TRUE,8801007955407,500,shopify,0,deny,manual,11.30,11.30,TRUE,8801007955407,0,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,,
CJ 비비고 야채 왕교자 770g(CJ Bibigo Original Vegetable Dumpling 770g),CJ 비비고 야채 왕교자 770g(CJ Bibigo Original Vegetable Dumpling 770g),"Dumplings, Vegan",TRUE,8801007957944,770,shopify,43,deny,manual,23.90,23.90,TRUE,8801007957944,14.03,active,O,O,O,-,In stock,In stock,6 Left,6 Left,KS,
